branch,state,name,type,latitude,longitude
Army,Virgin Islands,AAOF BLAIR HANGAR,National Guard,17.725062,-64.782945
Army,Alabama,AASF #1 R W SHEPHERD HOPE HULL,National Guard,32.287216,-86.394073
Army,Alabama,AASF #2 BIRMINGHAM,National Guard,33.572333,-86.750542
Army,Tennessee,AASF #2 TN,National Guard,35.821234,-83.994949
Army,Washington,AASF #2 WA,National Guard,47.618166,-117.641352
Army,Alabama,AASF #3 BATES FIELD MOBILE,National Guard,30.69254,-88.245547
Army,Virginia,AASF BYRD FIELD,National Guard,37.506614,-77.320779
Army,New Hampshire,AASF CONCORD,National Guard,43.212389,-71.496895
Army,Guam,AASF GUAM,National Guard,13.474073,144.809885
Army,Mississippi,AASF JACKSON,National Guard,32.333724,-90.226122
Army,New Jersey,AASF MAIN HANGAR-COLD STORAGE,National Guard,40.029701,-74.316384
Army,Mississippi,AASF MERIDIAN,National Guard,32.345178,-88.742131
Army,Puerto Rico,AASF PR,National Guard,18.455318,-66.096087
Army,Mississippi,AASF TUPELO,National Guard,34.26467,-88.766437
Army,South Carolina,AASF UPSTATE,National Guard,34.767698,-82.373656
Army,Utah,AASF-E.J. GARN AVIATION COMPLEX,National Guard,40.613167,-111.998167
Army,Alabama,ALAAP,BRAC,33.333333,-86.333333
Navy,California,ALAMEDA_NAS,BRAC,37.773754,-122.243998
Navy,Georgia,ALBANY GA MCLB,Active,31.550889,-84.055892
Navy,Alaska,AMCHITKA AK FLTSURSPTDET1,Active,51.425375,179.242971
Navy,Maryland,ANNAPOLIS MD NAVACAD,Active,38.982067,-76.483856
Navy,Maryland,ANNAPOLIS MD NS,Active,38.989852,-76.462426
Army,Florida,ASF CLEARWATER,Active,27.919592,-82.693654
Army,Texas,ASF CONROE,Active,30.348839,-95.424896
Army,Kansas,ASF NEW CENTURY,Active,38.83556,-94.897384
Navy,California,AZUSA CA NCCOSC MORRIS DA,Active,34.181876,-117.871852
Army,Maryland,ABERDEEN PROVING GROUND,Active,39.39058,-76.218905
Army,Maryland,ABERDEEN PROVING GROUND - ADELPHI LABORATORY CENTER,Active,39.029992,-76.963782
Navy,Alaska,ADAK AK NAF,BRAC,51.788199,-176.696676
Air Force,Oklahoma,AIR FORCE PLANT 3,Active,36.18695,-95.874957
Air Force,Ohio,AIR FORCE PLANT 36,Active,40.417287,-82.907123
Air Force,Texas,AIR FORCE PLANT 4,Active,32.725409,-97.32085
Air Force,California,AIR FORCE PLANT 42,Active,34.621164,-118.077376
Air Force,Arizona,AIR FORCE PLANT 44,Active,32.221743,-110.926479
Air Force,Georgia,AIR FORCE PLANT 6,Active,33.933353,-84.534014
Air Force,Ohio,AIR FORCE PLANT 85,Active,39.980211,-82.894764
Air Force,Colorado,AIR FORCE PLANT PJKS,Active,39.51,-105.12
Air Force,Arizona,AIR FORCE RESEARCH LABORATORY MESA,BRAC,33.303416,-111.664679
Air Force,New York,AIR FORCE RESEARCH LABORATORY ROME,Active,43.212847,-75.45573
Army,New York,ALBANY AASF #3/DMNA HQ /FMS #16,National Guard,42.74293,-73.800456
Army,South Carolina,ALLENDALE ARMORY,National Guard,33.015054,-81.306066
Air Force,Michigan,ALPENA,National Guard,45.084792,-83.567242
Air Force,Oklahoma,ALTUS AFB,Active,34.655689,-99.284617
Navy,Maryland,ANNAPOLIS NSWC CARDEROCK DIV DET,BRAC,38.985337,-76.472008
Army,Alabama,ANNISTON ARMY DEPOT,Active,33.652857,-85.969531
Air Force,Tennessee,ARNOLD AFB,Active,35.39881,-86.078066
Air Force,New Jersey,ATLANTIC CITY,National Guard,39.448024,-74.582132
Army,Texas,AUSTIN BERGSTROM HANGAR,National Guard,30.176305,-97.672095
Air Force,Florida,AVON PARK AIR FORCE RESERVE,Active,27.59567,-81.506186
Navy,Maryland,BAINBRIDGE MD NTC,Active,39.628198,-76.099903
Navy,Hawaii,BARBERS POINT HI NAS,Active,21.328792,-158.080862
Navy,Hawaii,BARKING SANDS HI PMRF,Active,22.05344,-159.779982
Navy,Alaska,BARROW AK NARL,Active,71.321729,-156.647955
Navy,California,BARSTOW CA MCLB,Active,34.859366,-116.944444
Navy,South Carolina,BEAUFORT SC MCAS,Active,32.475964,-80.726366
Navy,Massachusetts,BEDFORD MA NWRIP,Active,42.477093,-71.289206
Navy,New York,BETHPAGE NY NWIRP,Active,40.752573,-73.496646
Navy,Connecticut,BLOOMFIELD CT NWIRP,Active,41.861176,-72.701182
Navy,Washington,BREMERTON  WA NAVBASE,Active,47.711998,-122.714478
Navy,Tennessee,BRISTOL TN NWIRP,Active,36.547518,-82.188498
Army,Wisconsin,BADGER ARMY AMMUNITION PLANT,Active,43.371298,-89.766627
Air Force,Maine,BANGOR INTERNATIONAL AIRPORT,National Guard,44.81547,-68.824186
Army,Maine,BANGOR TRAINING SITE,National Guard,44.808321,-68.84313
Navy,Hawaii,BARBERS POINT NAS,BRAC,21.328792,-158.080862
Air Force,Louisiana,BARKSDALE AFB,Active,32.501945,-93.662781
Air Force,Massachusetts,BARNES MUNICIPAL,National Guard,42.168377,-72.717661
Air Force,California,BEALE AFB,Active,39.149707,-121.431134
Air Force,Hawaii,BELLOWS AIR FORCE STATION,Active,21.369086,-157.711144
Army,Michigan,BELMONT ARMORY,National Guard,35.245984,-81.019782
Army,Oregon,BEND COTEF YOUTH CHALLENGE,National Guard,44.025792,-121.128279
Air Force,Texas,BERGSTROM AFB,BRAC,30.197429,-97.666306
Army,Alaska,BETHEL AAOF,National Guard,60.795533,-161.767465
Army,Oregon,BIAK TRAINING AREAS BRETT HALL,National Guard,44.200024,-121.116642
Air Force,Pennsylvania,BIDDLE ANGB FORMERLY HORSHAM/WILLOW GROVE ANG,National Guard,40.208241,-75.148506
Air Force,Alabama,BIRMINGHAM INTERNATIONAL AIRPORT,National Guard,33.570709,-86.75355
Army,North Dakota,BISMARCK AASF COMPLEX  ,National Guard,46.829366,-100.720168
Army,Kentucky,BLUE GRASS ARMY DEPOT,Active,37.699058,-84.217408
Army,Kentucky,BLUEGRASS ARMY DEPOT BRAC,BRAC,37.699058,-84.217408
Air Force,Idaho,BOISE,National Guard,43.558945,-116.221981
